,Sq_Ft_Tot_Living,Sq_Ft_Lot,Bathroom_count,Bedroom_count,Bldg_Grade,Property_Type,Nbr_Living_Units,Sq_Ft_Fin_Basement,Yr_Built,Yr_Renovated,Newly_Construction,House_Sale_Price
5575,2860,8209,2.5,4,8,Single Family,1,0,2003,0,False,675930.0
5576,2990,5669,2.5,4,8,Single Family,1,0,2003,0,False,705128.0
5577,2680,7707,2.5,3,8,Single Family,1,0,2003,0,False,673800.0
5578,2192,4140,2.25,4,8,Single Family,1,0,2006,0,True,402911.0
5579,2192,12128,2.25,4,8,Single Family,1,0,2006,0,True,402911.0
5580,1943,5922,2.5,4,8,Single Family,1,0,2005,0,True,346332.0
5581,2483,6870,3.0,4,8,Single Family,1,0,2005,0,True,405388.0
5582,1943,6364,2.5,4,8,Single Family,1,0,2005,0,True,359242.0
5583,2070,4800,1.75,4,8,Single Family,1,570,1906,0,False,739210.0
5584,2070,4800,1.75,4,8,Single Family,1,570,1906,0,False,753751.0
5585,3720,5400,4.75,7,7,Multiplex,3,1860,1963,0,False,817883.0
5588,1760,1800,1.75,4,8,Single Family,1,0,1909,1999,False,660984.0
5590,2560,5321,3.0,3,7,Multiplex,2,390,1903,0,False,744302.0
5591,2050,5400,2.25,2,7,Single Family,1,400,1907,1955,False,829204.0
5592,3910,35001,3.25,4,11,Single Family,1,0,1988,0,False,1000399.0
5593,3240,31500,3.5,4,10,Single Family,1,0,1988,0,False,840379.0
5594,1310,5002,1.0,3,7,Single Family,1,450,1940,0,False,368047.0
5595,1910,5414,3.0,5,7,Single Family,1,700,1991,0,False,529453.0
5596,1600,1144,3.25,3,8,Townhouse,1,0,1998,0,False,396028.0
5597,1320,1298,2.0,3,7,Townhouse,1,0,1995,0,False,394703.0
5598,1870,7033,2.5,3,7,Single Family,1,0,1992,0,False,368397.0
5599,1140,7078,2.0,3,7,Single Family,1,0,1991,0,False,317721.0
5600,1140,7078,2.0,3,7,Single Family,1,0,1991,0,False,302705.0
5601,1310,7511,1.75,3,7,Single Family,1,0,1993,0,False,324958.0
5602,1290,10800,1.75,3,7,Single Family,1,0,1968,0,False,293005.0
5603,1290,10800,1.75,3,7,Single Family,1,0,1968,0,False,230369.0
5604,1330,14400,1.75,3,5,Single Family,1,0,1910,0,False,289579.0
5605,720,7200,1.0,2,5,Single Family,1,0,1942,0,False,88761.0
5606,860,7200,1.0,2,6,Single Family,1,0,1978,0,False,206961.0
5607,700,6000,1.0,2,5,Single Family,1,0,1951,1969,False,228571.0
5608,1970,5037,2.5,4,7,Single Family,1,0,2007,0,True,352997.0
5609,2490,5386,3.0,4,7,Single Family,1,0,2007,0,True,393543.0
5610,2490,5386,3.0,4,7,Single Family,1,0,2007,0,False,349104.0
5611,2490,5000,3.0,4,7,Single Family,1,0,2007,0,True,397834.0
5612,2990,5050,2.5,4,7,Single Family,1,0,2007,0,True,430544.0
5613,2490,5000,3.0,4,7,Single Family,1,0,2007,0,True,398099.0
5614,1970,7098,2.5,4,7,Single Family,1,0,2007,0,True,355556.0
5615,2960,5000,2.5,4,7,Single Family,1,0,2007,0,True,442015.0
5616,2960,5000,2.5,5,7,Single Family,1,0,2007,0,True,444804.0
5617,1830,5011,2.5,4,7,Single Family,1,0,2007,0,True,330406.0
5618,2400,12253,2.25,4,8,Single Family,1,0,1977,0,False,387464.0
5619,1940,10200,2.5,4,8,Single Family,1,800,1977,0,False,309927.0
5620,2540,5485,2.0,3,8,Single Family,1,0,2008,0,True,407776.0
5621,2610,4781,2.5,4,8,Single Family,1,0,2009,0,True,437860.0
5622,2750,6259,2.5,4,9,Single Family,1,0,2002,0,False,423856.0
5623,2540,6688,2.5,4,9,Single Family,1,0,2002,0,False,460189.0
5624,2540,6688,2.5,4,9,Single Family,1,0,2002,0,False,415922.0
5629,1410,6540,1.75,4,7,Single Family,1,0,1969,0,False,263425.0
5630,1010,6552,1.75,3,7,Single Family,1,0,1969,0,False,155278.0
5631,2390,6600,3.5,5,7,Single Family,1,0,1977,0,False,303298.0
5632,1100,6660,1.0,3,6,Single Family,1,0,1970,0,False,224466.0
5633,840,6540,1.0,3,7,Single Family,1,0,1970,2007,False,277436.0
5634,1830,3500,1.75,3,7,Single Family,1,770,1924,0,False,595821.0
5635,930,3750,1.0,2,7,Single Family,1,0,1909,0,False,540930.0
5636,860,3750,0.75,2,6,Single Family,1,0,1910,0,False,453228.0
5637,2380,3750,2.5,4,8,Single Family,1,400,1914,1993,False,1084137.0
5638,1390,3000,1.75,2,7,Single Family,1,0,1925,0,False,617651.0
5639,1960,3000,2.75,3,7,Single Family,1,740,1910,0,False,644621.0
5640,2640,4000,2.75,4,8,Single Family,1,910,1925,0,False,977443.0
5641,2640,4000,2.75,4,8,Single Family,1,910,1925,0,False,1137959.0
5642,1980,3300,1.75,3,7,Single Family,1,840,1926,0,False,730746.0
5643,2100,2500,2.25,4,8,Single Family,1,0,2001,0,False,637896.0
5644,2540,3750,2.25,5,7,Single Family,1,1030,1925,0,False,534840.0
5645,2400,3750,2.0,5,7,Single Family,1,940,1900,0,False,462794.0
5646,1450,2500,1.75,3,7,Single Family,1,580,1980,0,False,457351.0
5647,1720,2800,1.0,4,7,Single Family,1,520,1926,0,False,526229.0
5648,1110,3500,1.0,3,6,Single Family,1,300,1916,0,False,498000.0
5649,1580,4500,2.25,3,7,Single Family,1,280,1950,0,False,526890.0
5650,1580,4500,2.25,3,7,Single Family,1,280,1950,0,False,651542.0
5651,920,3750,1.0,2,6,Single Family,1,0,1908,0,False,475664.0
5654,2580,3600,2.0,4,7,Single Family,1,1290,1925,2000,False,849564.0
5655,1100,4400,1.75,4,6,Single Family,1,0,1925,0,False,547582.0
5656,1790,5000,1.0,3,7,Single Family,1,0,1916,0,True,567338.0
5657,2710,4500,2.0,3,8,Single Family,1,830,1929,0,False,788775.0
5658,1255,3750,1.5,3,6,Single Family,1,180,1907,0,False,519506.0
5659,1540,5000,1.0,4,7,Single Family,1,450,1922,0,False,543592.0
5660,1710,2950,1.0,4,8,Single Family,1,0,1928,0,False,481760.0
5661,1380,2950,2.0,2,7,Single Family,1,500,1927,0,False,410566.0
5662,1320,2388,1.0,3,7,Single Family,1,0,1926,0,False,485714.0
5663,1070,3480,2.0,3,6,Single Family,1,260,1918,0,False,501787.0
5664,1470,1554,2.25,3,7,Single Family,1,220,1988,0,False,440022.0
5665,2360,4750,1.75,4,7,Single Family,1,700,1911,0,False,687129.0
5666,1400,11000,2.0,3,7,Single Family,1,0,1999,0,False,293341.0
5667,1390,13537,2.5,3,7,Single Family,1,0,1996,0,False,267839.0
5668,3580,6470,3.5,4,9,Single Family,1,0,2006,0,True,785545.0
5669,2880,4425,2.75,5,8,Single Family,1,0,2005,0,True,729391.0
5670,2880,4425,2.75,5,8,Single Family,1,0,2005,0,False,805261.0
5671,2460,4425,2.5,4,8,Single Family,1,0,2006,0,False,698638.0
5672,2640,6581,2.5,4,8,Single Family,1,0,2006,0,True,754661.0
5673,2530,4210,2.5,4,8,Single Family,1,0,2005,0,True,700621.0
5674,2960,6749,2.5,4,9,Single Family,1,0,2005,0,False,800535.0
5675,2080,4295,2.5,3,8,Single Family,1,0,2006,0,True,665897.0
5677,2570,7173,2.5,4,8,Single Family,1,0,2005,0,True,660403.0
5678,3520,8095,2.5,4,9,Single Family,1,0,2006,0,True,834124.0
5679,2370,3442,2.5,3,8,Single Family,1,0,2006,0,True,651172.0
5680,3690,7499,3.5,4,9,Single Family,1,0,2006,0,True,864543.0
5681,3400,6346,3.75,5,9,Single Family,1,0,2006,0,True,820433.0
5682,3590,6655,2.5,4,9,Single Family,1,0,2006,0,True,907280.0
5683,3690,7691,3.5,4,9,Single Family,1,0,2006,0,True,905097.0
5684,3570,6616,2.5,4,9,Single Family,1,0,2006,0,True,821105.0
5685,3130,7320,4.5,5,8,Multiplex,3,450,1990,0,False,1195007.0
5687,3260,3775,3.25,4,10,Single Family,1,640,2004,0,False,1135038.0
5688,1840,14002,2.25,3,7,Single Family,1,0,1994,0,False,471087.0
5689,1230,5711,1.0,3,6,Single Family,1,0,1924,0,False,244433.0
5690,2035,4988,2.5,3,7,Single Family,1,0,2001,0,False,450735.0
5691,2030,4916,2.5,3,7,Single Family,1,0,2002,0,False,378673.0
5692,2030,4916,2.5,3,7,Single Family,1,0,2002,0,False,414127.0
5693,3960,11783,3.0,4,10,Single Family,1,0,2000,0,False,1036889.0
5694,3810,10497,2.75,4,10,Single Family,1,0,2000,0,False,1002241.0
5695,4150,14026,4.25,4,10,Single Family,1,0,2000,0,False,1049447.0
5701,1640,4080,1.5,2,7,Single Family,1,100,1916,0,False,767924.0
5702,1940,3570,1.5,3,8,Single Family,1,200,1916,0,False,779391.0
5703,1700,2274,2.5,2,9,Single Family,1,0,2005,0,True,699195.0
5704,1400,2421,2.25,3,9,Single Family,1,0,2005,0,True,647028.0
5705,1400,2342,2.25,3,9,Single Family,1,0,2005,0,True,654540.0
5706,1230,5396,1.0,2,7,Single Family,1,0,1911,0,False,288670.0
5707,1930,5000,1.75,3,7,Single Family,1,780,1979,0,False,347989.0
5708,2330,7483,2.5,4,8,Single Family,1,0,2004,0,True,478585.0
5714,2660,8414,2.5,4,8,Single Family,1,1330,1957,0,False,844590.0
5715,1690,14896,2.0,3,7,Single Family,1,0,1978,0,False,351114.0
5716,1550,7757,1.75,3,8,Single Family,1,0,1983,0,False,316392.0
5717,1550,7757,1.75,3,8,Single Family,1,0,1983,0,False,314268.0
5718,2070,11410,2.25,4,8,Single Family,1,620,1987,0,False,320336.0
5719,1830,8372,2.5,3,8,Single Family,1,0,1987,0,False,338759.0
5720,2010,8799,2.25,3,8,Single Family,1,0,1984,0,False,352696.0
5721,2020,9614,2.25,3,8,Single Family,1,0,1985,0,False,270163.0
5722,1940,11474,2.5,3,8,Single Family,1,0,1986,0,False,341525.0
5723,1080,9611,1.0,3,7,Single Family,1,0,1968,0,False,226896.0
5724,1200,7920,1.75,3,7,Single Family,1,0,1972,0,False,271227.0
5725,1750,7620,1.75,3,7,Single Family,1,0,1942,2004,False,401656.0
5726,790,7620,1.5,2,5,Multiplex,2,0,1946,0,False,226614.0
5727,1050,7620,1.0,3,6,Single Family,1,0,1920,0,False,350968.0
5728,1950,4366,2.75,3,7,Single Family,1,0,2004,0,False,355048.0
5729,1490,6604,1.5,3,6,Single Family,1,0,1918,0,False,226731.0
5730,1940,6654,1.75,5,7,Single Family,1,0,1953,0,False,390397.0
5732,1730,12354,1.75,4,8,Single Family,1,0,1978,0,False,601304.0
5733,1530,7200,2.0,4,7,Single Family,1,0,1950,0,False,457725.0
5734,860,6720,1.0,2,6,Single Family,1,0,1937,0,False,260997.0
5735,1320,4380,1.0,3,6,Single Family,1,0,1968,0,False,375581.0
5736,1660,6600,2.0,4,6,Single Family,1,550,1928,0,False,421643.0
5737,3640,3600,3.0,5,9,Single Family,1,1120,1924,0,False,1334398.0
5738,1370,1404,2.25,2,7,Townhouse,1,170,2000,0,False,434025.0
5739,1370,1404,2.25,2,7,Townhouse,1,170,2000,0,False,493016.0
5740,1350,1248,2.25,2,7,Townhouse,1,170,2000,0,False,493648.0
5741,1280,5374,1.0,2,7,Single Family,1,0,1909,1996,False,249686.0
5744,2340,6750,1.75,3,7,Single Family,1,720,1914,0,False,474654.0
5745,2360,5063,2.5,3,8,Single Family,1,790,2004,0,False,670582.0
5746,2310,6770,3.75,6,7,Single Family,1,680,1968,0,False,535461.0
5747,2420,43560,1.5,5,8,Single Family,1,920,1962,0,False,386573.0
5748,2610,13613,2.25,3,8,Single Family,1,490,1964,0,False,341664.0
5749,1960,11600,2.5,4,6,Single Family,1,980,1931,0,False,290066.0
5750,3500,216777,2.5,3,8,Single Family,1,940,1986,0,False,682132.0
5751,3560,13959,3.75,4,9,Single Family,1,0,1972,0,False,966433.0
5752,3560,13959,3.75,4,9,Single Family,1,0,1972,0,False,1231581.0
5753,1080,6052,1.0,2,6,Single Family,1,0,1908,0,False,146673.0
5754,1980,39150,1.0,3,6,Single Family,1,400,1932,0,False,408353.0
5755,1270,9000,1.0,3,6,Single Family,1,0,1948,0,False,269963.0
5756,1510,18846,2.75,3,6,Single Family,1,0,1952,0,False,255562.0
5757,1510,18846,2.75,3,6,Single Family,1,0,1952,0,False,263113.0
5758,1010,11880,1.0,3,7,Single Family,1,0,1960,0,False,154894.0
5759,1940,9000,1.75,4,7,Single Family,1,650,1968,0,False,319403.0
5760,1940,9000,1.75,4,7,Single Family,1,650,1968,0,False,343865.0
5761,1780,25244,1.75,3,7,Single Family,1,500,1980,0,False,362160.0
5762,2060,82764,1.75,4,8,Single Family,1,0,1961,1995,False,710349.0
5763,1370,78408,2.0,3,7,Single Family,1,0,1964,0,False,459791.0
5764,2180,9805,1.75,4,9,Single Family,1,0,1969,0,False,878164.0
5765,3640,17873,3.25,6,9,Single Family,1,1050,1969,0,False,822105.0
5766,3020,15305,3.5,5,10,Single Family,1,790,1978,0,False,799143.0
5767,2970,14486,3.5,4,9,Single Family,1,630,1997,0,False,928525.0
5768,1651,18200,2.0,2,6,Single Family,1,0,1946,0,False,344083.0
5769,600,217800,1.0,2,7,Single Family,1,0,1996,0,False,564018.0
5770,2310,221284,2.5,3,9,Single Family,1,0,1999,0,False,815406.0
5771,4950,22259,2.75,4,10,Single Family,1,2560,1947,2006,False,1738346.0
5772,1460,11595,1.5,3,7,Single Family,1,0,1950,0,False,361963.0
5773,1650,6900,2.0,4,6,Single Family,1,790,1952,0,False,376506.0
5774,3180,194278,3.25,4,10,Single Family,1,0,2005,0,False,906457.0
5775,3930,239580,2.5,4,9,Single Family,1,0,2001,0,False,933651.0
5776,2890,154638,2.25,4,9,Single Family,1,0,2002,0,False,652319.0
5777,2850,5400,2.75,4,9,Multiplex,3,500,1908,0,False,797193.0
5778,1640,3000,2.0,3,7,Single Family,1,820,1925,0,False,514008.0
5779,1760,3000,1.5,3,7,Single Family,1,480,1925,0,False,527881.0
5780,5270,21325,5.0,6,10,Single Family,1,1600,1989,0,False,2158526.0
5781,3690,15923,3.0,3,8,Single Family,1,1700,1952,2000,False,953725.0
5782,3670,17042,3.5,4,10,Single Family,1,1010,1914,2005,False,2600382.0
5783,4530,15644,3.5,4,11,Single Family,1,0,1978,0,False,3013782.0
5785,5010,49222,3.25,4,9,Single Family,1,1300,1978,0,False,1108816.0
5786,6930,18740,4.75,5,11,Single Family,1,2080,2008,0,False,1510400.0
5787,4790,127630,4.0,4,10,Single Family,1,2090,1984,0,False,1354106.0
5788,2600,16514,2.75,3,7,Single Family,1,1300,1955,0,False,654853.0
5790,6180,21697,4.5,5,12,Single Family,1,0,2006,0,True,3006426.0
5791,2470,22173,1.75,3,8,Single Family,1,0,1959,0,False,1042724.0
5793,4920,17853,3.5,4,12,Single Family,1,0,2003,0,False,2897457.0
5794,3750,20588,4.25,4,9,Single Family,1,0,1959,2007,False,2068537.0
5795,3750,20588,4.25,4,9,Single Family,1,0,1959,2007,False,2051123.0
5796,3690,15652,2.5,4,10,Single Family,1,0,1963,2010,False,2839748.0
5799,2830,3689,2.25,3,10,Single Family,1,950,2003,0,False,1541663.0
5800,2810,18731,2.75,3,10,Single Family,1,0,1974,0,False,1805126.0
5801,2610,19602,2.75,4,8,Single Family,1,1160,1972,0,False,655695.0
5802,3700,20101,2.5,4,10,Single Family,1,0,1978,2014,False,1315132.0
5803,2210,14810,3.25,3,9,Single Family,1,700,1976,0,False,688149.0
5804,1340,10018,2.5,3,7,Single Family,1,0,1976,0,False,478361.0
5806,900,12648,1.0,2,6,Single Family,1,0,1940,0,False,323751.0
5807,880,10950,1.0,2,7,Single Family,1,0,1944,0,False,345745.0
5808,860,7964,1.0,2,7,Single Family,1,0,1950,0,False,348120.0
5811,1510,43560,2.0,3,7,Single Family,1,0,1954,0,False,358643.0
5812,4160,75654,4.0,6,8,Single Family,1,1350,1980,0,False,815927.0
5813,3210,35028,2.5,4,10,Single Family,1,0,1998,0,False,811482.0
5814,5860,52889,4.25,4,10,Single Family,1,950,1996,0,False,1490035.0
5815,5860,52889,4.25,4,10,Single Family,1,950,1996,0,False,1265043.0
5816,1370,3300,1.75,3,7,Single Family,1,0,1927,0,False,471716.0
5817,1540,4300,1.75,3,8,Single Family,1,560,1929,0,False,542220.0
5818,1540,4300,1.75,3,8,Single Family,1,560,1929,0,False,640674.0
5819,1660,2975,1.5,2,7,Single Family,1,830,1924,0,False,432028.0
5820,830,3120,1.0,2,7,Single Family,1,0,1924,0,False,501198.0
5821,1410,4080,1.75,3,7,Single Family,1,0,1927,0,False,554242.0
5822,2180,3876,2.0,5,7,Single Family,1,910,1924,0,False,518725.0
5823,2100,6222,2.75,4,7,Single Family,1,460,1941,0,False,528540.0
5824,1280,4080,1.0,3,7,Single Family,1,150,1910,0,False,416287.0
5825,2200,3000,2.5,3,9,Single Family,1,670,2002,0,False,695886.0
5826,2200,3002,2.5,3,9,Single Family,1,670,2002,0,False,791273.0
5827,3920,7000,3.5,4,10,Single Family,1,960,2008,0,False,703968.0
5828,3920,7000,3.5,4,10,Single Family,1,960,2008,0,False,2108407.0
5829,3320,3289,1.75,4,8,Single Family,1,1220,1913,0,False,793647.0
5830,3520,3944,3.75,4,9,Single Family,1,1320,1913,0,False,1396499.0
5831,1250,4320,1.0,2,7,Single Family,1,400,1911,0,False,552279.0
5832,2040,4320,2.0,2,7,Single Family,2,980,1911,0,False,658473.0
5833,830,5600,1.0,2,7,Single Family,1,0,1946,2001,False,559196.0
5834,1210,4000,1.0,3,7,Single Family,1,0,1927,0,False,703803.0
5835,1530,2400,1.0,3,7,Single Family,1,640,1928,0,False,476127.0
5836,2780,4000,2.75,3,8,Single Family,1,820,1904,0,False,1086772.0
5837,1210,3000,1.0,2,7,Single Family,1,230,1929,0,False,374071.0
5838,1780,5884,1.75,3,7,Single Family,1,700,1906,0,False,544125.0
5843,1180,950,2.25,3,8,Townhouse,1,0,2008,0,True,456184.0
5846,2170,3200,2.5,3,7,Single Family,1,890,1923,0,False,671589.0
5847,1280,1085,3.0,3,8,Townhouse,1,0,2004,0,False,423181.0
5848,1350,3400,1.0,3,7,Single Family,1,0,1924,0,False,478994.0
5851,1470,780,2.5,2,8,Townhouse,1,0,2000,0,False,572632.0
5852,1410,4920,1.75,3,7,Single Family,1,0,1942,2014,False,335738.0
5853,750,4920,1.0,2,6,Single Family,1,0,1942,0,False,297946.0
5854,740,5520,1.0,2,6,Single Family,1,0,1942,0,False,322751.0
5855,750,5520,1.75,2,6,Single Family,1,0,1942,0,False,344088.0
5856,1220,1771,1.5,3,6,Single Family,1,0,1900,1970,False,289506.0
5857,1780,4400,1.0,3,7,Single Family,1,0,1905,0,False,467337.0
5858,1040,1516,2.25,2,8,Townhouse,1,0,2008,0,True,429179.0
5859,1560,1222,2.5,2,8,Townhouse,1,480,2008,0,True,463816.0
5860,1370,1221,1.5,2,8,Townhouse,1,290,2008,0,False,463108.0
5865,1050,934,1.5,2,8,Townhouse,1,90,2007,0,True,375495.0
5866,1050,1046,1.5,2,8,Townhouse,1,90,2007,0,True,356464.0
5867,2010,3244,1.5,4,7,Multiplex,2,0,1900,0,False,406919.0
5872,1610,4150,1.0,4,8,Single Family,1,0,1931,0,False,515482.0
5873,1030,4000,1.0,3,7,Single Family,1,0,1921,0,False,406113.0
5874,1970,2601,2.5,4,7,Townhouse,1,530,1999,0,False,483990.0
5875,2480,3200,3.5,3,10,Single Family,1,0,2010,0,True,880955.0
5876,1630,10200,1.5,3,8,Single Family,1,330,1976,0,False,242261.0
5877,2140,6390,2.25,4,8,Single Family,1,860,1978,0,False,357844.0
5878,1660,7600,1.75,3,8,Single Family,1,0,1971,0,False,321337.0
5879,2460,55259,2.5,5,8,Single Family,1,1230,1962,0,False,549910.0
5880,2800,8151,3.75,4,9,Single Family,1,0,1990,0,False,573968.0
5881,2340,8624,3.0,3,9,Single Family,1,0,1989,0,False,602936.0
5882,2650,8911,2.5,4,9,Single Family,1,0,1987,0,False,619177.0
5883,2940,8566,2.5,4,9,Single Family,1,0,1987,0,False,602770.0
5884,2790,8209,2.5,4,9,Single Family,1,0,1987,0,False,584894.0
5885,1870,8602,2.5,3,9,Single Family,1,470,1987,0,False,498517.0
5886,2630,9288,2.5,3,9,Single Family,1,0,1987,0,False,602936.0
5887,2420,8249,2.5,4,9,Single Family,1,0,1990,0,False,577744.0
5888,2460,8029,2.5,4,9,Single Family,1,0,1989,0,False,626462.0
5889,2460,8465,2.5,3,9,Single Family,1,0,1990,0,False,625440.0
5890,2690,8422,2.5,4,9,Single Family,1,0,1990,0,False,653074.0
5891,1640,9576,2.25,3,9,Single Family,1,0,1989,0,False,493922.0
5892,2700,8934,2.5,4,9,Single Family,1,0,1990,0,False,678982.0
5893,3050,8095,2.5,4,9,Single Family,1,0,1990,0,False,675676.0
5894,2820,8307,2.5,4,9,Single Family,1,0,1990,0,False,699837.0
5895,2710,9022,2.5,4,9,Single Family,1,0,1990,0,False,657181.0
5896,2740,7508,2.5,4,9,Single Family,1,0,1991,0,False,548910.0
5897,1450,8190,2.0,4,7,Single Family,1,0,1966,0,False,423948.0
5898,1990,8190,1.75,5,7,Single Family,1,660,1966,0,False,473383.0
5902,2170,5000,2.75,4,8,Single Family,1,0,2011,0,False,584959.0
5903,1820,2970,2.75,3,8,Single Family,1,310,1907,0,False,665357.0
5904,1660,2719,2.5,3,9,Single Family,1,550,1987,0,False,839860.0
5905,940,7125,1.0,3,7,Single Family,1,0,1958,0,False,255140.0
5906,957,8750,1.0,2,7,Single Family,1,0,1959,0,False,280033.0
5907,940,8349,1.0,3,7,Single Family,1,0,1959,0,False,262295.0
5908,1630,9450,1.75,3,7,Single Family,1,550,1977,0,False,271032.0
5909,1250,11990,1.75,3,7,Single Family,1,0,1976,0,False,279764.0
5910,2270,15200,1.75,3,7,Single Family,1,0,1967,0,False,135306.0
5911,1380,8500,2.0,3,7,Single Family,1,0,1959,0,False,304968.0
5912,1240,9198,1.0,3,7,Single Family,1,0,1959,0,False,180765.0
5913,1240,9198,1.0,3,7,Single Family,1,0,1959,0,False,295103.0
5914,1240,9198,1.0,3,7,Single Family,1,0,1959,0,False,201365.0
5915,830,9600,1.0,3,7,Single Family,1,0,1959,0,False,173234.0
5916,2480,7855,2.5,3,8,Single Family,1,800,1976,0,False,491314.0
5917,1920,8659,2.25,4,8,Single Family,1,500,1976,0,False,517944.0
5918,2170,9665,2.25,4,8,Single Family,1,870,1976,0,False,485045.0
5919,2170,9665,2.25,4,8,Single Family,1,870,1976,0,False,531549.0
5920,1900,7500,1.75,3,8,Single Family,1,0,1969,0,False,550995.0
5921,1460,7732,1.75,4,8,Single Family,1,0,1970,0,False,477356.0
5922,1460,7732,1.75,4,8,Single Family,1,0,1970,0,False,528798.0
5923,2540,10586,2.25,4,8,Single Family,1,0,1973,0,False,544272.0
5924,1560,9879,2.25,4,8,Single Family,1,270,1976,0,False,525639.0
5925,2940,9793,1.75,5,7,Single Family,1,1470,1964,0,False,575923.0
5928,2180,3938,1.5,4,7,Single Family,1,700,1926,0,False,651822.0
5929,2290,2798,2.5,3,9,Single Family,1,0,1953,1983,False,611037.0
5930,2290,2798,2.5,3,9,Single Family,1,0,1953,1983,False,856881.0
5931,2070,13241,2.5,3,9,Single Family,1,800,1910,0,False,1117171.0
5932,2760,14025,2.75,6,7,Single Family,1,1380,1956,0,False,449123.0
5933,1730,8750,1.5,3,7,Single Family,1,420,1959,0,False,312978.0
5934,1860,9225,1.0,3,7,Single Family,1,0,1957,0,False,191001.0
5935,2780,13720,3.0,5,7,Single Family,1,0,1956,0,False,331308.0
5936,1110,8800,1.75,3,7,Single Family,1,0,1959,0,False,278246.0
5937,1670,8850,1.75,4,7,Single Family,1,500,1962,0,False,303158.0
5938,1670,8850,1.75,4,7,Single Family,1,500,1962,0,False,183736.0
5939,2336,9100,3.0,6,7,Single Family,1,836,1962,0,False,402412.0
5940,1790,7167,2.5,3,8,Single Family,1,0,1989,0,False,479295.0
5941,1790,7167,2.5,3,8,Single Family,1,0,1989,0,False,546957.0
5942,2380,6867,2.5,4,8,Single Family,1,0,1988,0,False,572501.0
5943,2870,7622,3.5,4,8,Single Family,1,1080,1989,0,False,539840.0
5944,1680,8080,2.0,3,8,Single Family,1,0,1987,0,False,482274.0
5945,1650,9965,1.75,3,8,Single Family,1,0,1987,0,False,587925.0
5946,2550,7468,3.5,4,8,Single Family,1,400,1990,0,False,621182.0
5947,1680,7477,2.25,3,8,Single Family,1,0,1988,0,False,526651.0
5948,1680,8205,2.25,3,8,Single Family,1,0,1987,0,False,524560.0
5949,2150,7484,2.5,3,8,Single Family,1,0,1988,0,False,416287.0
5950,1570,6810,2.5,3,8,Single Family,1,390,1988,0,False,475295.0
5951,1910,8665,2.5,3,8,Single Family,1,0,1989,0,False,518672.0
5952,2050,8683,2.5,4,8,Single Family,1,0,1987,0,False,569531.0
5953,1900,8744,2.5,3,8,Single Family,1,0,1987,0,False,478408.0
5954,2150,13485,2.25,4,8,Single Family,1,900,1961,2007,False,711635.0
5955,2020,13020,1.75,5,7,Single Family,1,700,1973,0,False,482274.0
5956,2950,32289,2.5,4,9,Single Family,1,0,1995,0,False,647354.0
5957,2700,12349,2.5,3,9,Single Family,1,640,1982,0,False,810428.0
5958,2700,12349,2.5,3,9,Single Family,1,640,1982,0,False,795855.0
5959,1750,9340,2.25,2,8,Single Family,1,160,1985,0,False,643584.0
5960,1750,9340,2.25,2,8,Single Family,1,160,1985,0,False,674859.0
5961,7570,23066,5.5,7,13,Single Family,1,2440,2001,0,False,7865818.0
5962,4190,8805,3.0,4,9,Single Family,1,700,1928,0,False,2603590.0
5963,3360,7108,2.25,3,10,Single Family,1,590,1905,2004,False,2385491.0
5964,4516,9009,3.25,4,10,Single Family,1,750,1946,2005,False,2529977.0
5965,4516,9009,3.25,4,10,Single Family,1,750,1946,2005,False,3300817.0
5967,2170,4785,1.75,2,8,Single Family,1,940,1945,0,False,704397.0
5968,4040,5500,4.5,6,10,Single Family,1,1180,1907,2005,False,2006763.0
5969,2990,5500,2.75,5,7,Single Family,1,1300,1921,0,False,754746.0
5971,3750,5500,3.25,4,10,Single Family,1,750,1923,0,False,786885.0
5972,1800,4180,1.75,4,8,Single Family,1,0,1921,0,False,1055575.0
5973,5600,4900,6.25,13,10,Multiplex,3,1530,1916,0,False,1285572.0
5974,1650,4800,2.0,3,8,Single Family,1,0,1922,0,False,793132.0
5975,1820,5500,2.25,3,9,Single Family,1,0,1928,0,False,742552.0
5976,3730,5500,3.0,5,7,Multiplex,3,1570,1927,0,False,601558.0
5977,1620,1325,1.75,3,9,Townhouse,1,190,2005,0,False,612845.0
5978,1620,1325,1.75,3,9,Townhouse,1,190,2005,0,False,542326.0
5982,1660,1469,2.5,3,9,Townhouse,1,80,2007,0,False,586401.0
5983,2370,2730,1.0,3,8,Single Family,1,770,1913,2005,False,783824.0
5984,2060,3300,1.75,3,9,Single Family,1,560,1918,0,False,674180.0
5985,1470,4800,1.75,2,8,Single Family,1,350,1923,0,False,854331.0
5986,1880,5000,2.5,3,8,Single Family,1,720,1926,0,False,1503455.0
5989,1560,2212,2.0,3,7,Single Family,1,370,1931,0,False,602687.0
5990,2170,2538,2.5,4,8,Single Family,1,570,1929,0,False,738676.0
5993,1100,1220,2.25,2,8,Townhouse,1,0,2004,0,False,474240.0
5994,1550,1688,2.5,3,8,Townhouse,1,0,2008,0,True,590517.0
6002,1260,1312,2.25,2,8,Townhouse,1,0,2007,0,False,480972.0
6003,1260,1312,2.25,2,8,Townhouse,1,0,2007,0,True,497799.0
6008,1010,1689,1.5,2,8,Townhouse,1,0,1999,0,False,465836.0
6010,1370,1183,2.5,3,8,Townhouse,1,0,2002,0,False,518710.0
